Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total.People,Serious.Fatal.Injuries,Serious.Fatal.Rate,Aircraft.Destroyed,Serious.Fatal,Injury.Rate,Destroyed
20001208X05343,Accident,ANC96LA033,1996-03-13,"CRIPPLE, AK",United States,,,Non-Fatal,Substantial,Airplane,N93829,Cessna,185,No,1.0,Reciprocating,NSCH,Unknown,Hageland Aviation,0.0,0.0,,1.0,VMC,Landing,Probable Cause,13-10-2010,1.0,,,False,0.0,0.0,False
20001208X06417,Accident,ATL96LA117,1996-08-07,"DAWSON, GA",United States,,,Non-Fatal,Destroyed,Airplane,N8672H,Grumman,G164,No,1.0,Reciprocating,UNK,Aerial Application,,0.0,0.0,,1.0,VMC,Takeoff,Probable Cause,08-09-2015,1.0,,,True,0.0,0.0,True
20001208X07017,Accident,DCA97WA011,1996-11-23,"COMORSO ISLANDS, Ethiopia",Ethiopia,,,Fatal(125),Destroyed,Airplane,,Boeing,767,No,1.0,Unknown,SCHD,Unknown,,125.0,44.0,2.0,4.0,VMC,Unknown,Foreign,,173.0,169.0,0.9657142857142857,True,169.0,0.976878612716763,True
20010711X01386,Incident,DCA97WA029,1997-02-15,"Panama City, Panama",Panama,,,Incident,,Airplane,,Boeing,737,No,1.0,Unknown,SCHD,Unknown,,0.0,0.0,,63.0,Unknown,Unknown,Foreign,12-05-2011,63.0,,,False,0.0,0.0,False
20001208X07696,Accident,DCA97WA039,1997-04-10,"ZURICH, Switzerland",Switzerland,,,Fatal(10),Destroyed,Airplane,,Cessna,414,No,1.0,Unknown,UNK,Business,,10.0,0.0,,0.0,UNK,Unknown,Foreign,,10.0,,,True,10.0,1.0,True
20001208X07660,Accident,ATL97FA060,1997-04-19,"ATHENS, GA",United States,,,Fatal(1),Destroyed,Airplane,N6005T,Beech,C23,No,1.0,Reciprocating,,Unknown,,1.0,0.0,,0.0,VMC,Maneuvering,Probable Cause,28-10-2015,1.0,,,True,1.0,1.0,True
20001208X07698,Accident,DCA97WA044,1997-04-30,,Cambodia,,,Fatal(2),Destroyed,Airplane,N9825F,Cessna,208,No,1.0,Unknown,UNK,Unknown,,2.0,0.0,,0.0,UNK,Unknown,Foreign,,2.0,,,True,2.0,1.0,True
20001208X08047,Accident,ANC97LA091,1997-06-26,"CHUGIAK, AK",United States,BCV,BIRCHWOOD,Non-Fatal,Substantial,Airplane,N1386A,Piper,PA-18,No,1.0,Reciprocating,,Instructional,,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,15-12-2009,0.0,,,False,0.0,0.0,False
20001208X08682,Accident,LAX97LA294,1997-08-18,"CHANDLER, AZ",United States,CHD,CHANDLER MUNICIPAL,Non-Fatal,Substantial,Airplane,N57528,Piper,PA-18-150,No,1.0,Reciprocating,,Instructional,,0.0,0.0,,2.0,VMC,Landing,Probable Cause,23-04-2010,2.0,,,False,0.0,0.0,False
20001208X08921,Accident,SEA97FA201,1997-09-01,"BREMERTON, WA",United States,PWT,BREMERTON NATIONAL,Fatal(5),Destroyed,Airplane,N9015T,Cessna,182C,No,1.0,Reciprocating,,Skydiving,,5.0,0.0,,0.0,VMC,Climb,Probable Cause,17-10-2016,5.0,,,True,5.0,1.0,True
20001208X08838,Accident,FTW97LA338,1997-09-03,"SAGUACHE, CO",United States,,,Non-Fatal,Substantial,Airplane,N7397R,Beech,V35B,No,1.0,Reciprocating,,Personal,,0.0,0.0,,1.0,VMC,Cruise,Probable Cause,21-04-2016,1.0,,,False,0.0,0.0,False
20001208X08803,Accident,CHI97FA308,1997-09-14,"St. Ignaces, MI",United States,83D,Mackinac County,Fatal(2),Destroyed,Airplane,N9399W,Piper,PA-28-235,No,1.0,Reciprocating,,Personal,,2.0,0.0,,0.0,IMC,Unknown,Probable Cause,27-09-2019,2.0,,,True,2.0,1.0,True
20001208X08986,Accident,DCA98MA002,1997-10-08,"MONTROSE, CO",United States,KMTJ,MONTROSE REGIONAL,Fatal(9),Destroyed,Airplane,N12022,Cessna,208B,No,1.0,Turbo Prop,NSCH,Unknown,Scenic Airlines Inc,9.0,0.0,,0.0,IMC,Climb,Probable Cause,20-12-2013,9.0,,,True,9.0,1.0,True
20001208X09175,Accident,FTW98LA046,1997-11-07,"BROOMFIELD, CO",United States,BJC,JEFFERSON COUNTY,Non-Fatal,Substantial,Airplane,N9607D,Piper,PA-22-150,No,1.0,Reciprocating,,Personal,,0.0,0.0,,2.0,VMC,Takeoff,Probable Cause,01-02-2016,2.0,,,False,0.0,0.0,False
20001211X09633,Accident,CHI98FA106,1998-03-21,"GRAIN VALLEY, MO",United States,3GV,GRAIN VALLEY AIRPORT,Fatal(6),Destroyed,Airplane,N506SD,Cessna,U206G,No,1.0,Reciprocating,,Skydiving,,6.0,0.0,,0.0,VMC,Cruise,Probable Cause,17-10-2016,6.0,,,True,6.0,1.0,True
20001211X10287,Incident,DCA98WA062,1998-06-27,"MUNICH, Germany",Germany,,,Incident,,Airplane,,Boeing,737-800,No,1.0,Unknown,SCHD,Unknown,,0.0,0.0,,0.0,UNK,Unknown,Foreign,,0.0,,,False,0.0,0.0,False
